Trip ID,SURVEYZONE_START,SURVEYZONE_END,qGENDER,qINCOME,qRACECODE,qCARACCESS,qPurposeRecode,Day Grouping,Within Zone?,Income Group,Purpose Grouping,qSustainableMode
0,Manhattan Core,Manhattan Core,Male,"100,000− 149,999",White,own car,Commute to/from work,Weekend,within,middle income,Work/School,Yes
1,Manhattan Core,Manhattan Core,Female,"35,000− 49,999",White,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
2,Inner Brooklyn,Inner Brooklyn,Female,"100,000− 149,999",Black,own car,Other,Weekday,within,middle income,Others,Yes
3,Northern Bronx,Inner Brooklyn,Female,"50,000 -  74,999",Hispanic,NO car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
4,Manhattan Core,Outer Brooklyn,Female,"Less than 14,999",Other,NO car,School,Weekday,outside,low income,Work/School,Yes
5,Northern Manhattan,Northern Manhattan,Female,"35,000− 49,999",Hispanic,own car,Other,Weekday,within,low income,Others,Yes
6,Southern Bronx,Southern Bronx,Male,"Less than 14,999",Hispanic,NO car,School,Weekday,within,low income,Work/School,No
7,Inner Queens,Inner Queens,Male,"100,000− 149,999",Asian,NO car,Shopping,Weekday,within,middle income,Social,Yes
8,Northern Manhattan,Northern Manhattan,Male,"35,000− 49,999",White,NO car,Social/recreation,Weekend,within,low income,Social,Yes
9,Manhattan Core,Manhattan Core,Female,"50,000 -  74,999",White,NO car,Other,Weekday,within,low income,Others,Yes
10,Outer Brooklyn,Outer Brooklyn,Female,"Less than 14,999",Hispanic,NO car,Social/recreation,Weekend,within,low income,Social,Yes
11,Inner Queens,Inner Queens,Female,"Less than 14,999",Hispanic,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
12,Outer Brooklyn,Inner Brooklyn,Female,"Less than 14,999",White,own car,School,Weekday,outside,low income,Work/School,No
13,Manhattan Core,Manhattan Core,Female," 75,000 -  99,999",Asian,own car,Social/recreation,Weekday,within,middle income,Social,Yes
14,Middle Queens,Inner Queens,Female,"150,000− 199,999",White,own car,School,Weekday,outside,high income,Work/School,No
15,Manhattan Core,Manhattan Core,Female,"35,000− 49,999",White,NO car,Social/recreation,Weekday,within,low income,Social,Yes
16,Manhattan Core,Manhattan Core,Male,"200,000 and above",White,NO car,Commute to/from work,Weekday,within,high income,Work/School,Yes
17,Manhattan Core,Manhattan Core,Female,"100,000− 149,999",Asian,own car,Dining,Weekday,within,middle income,Social,Yes
18,Manhattan Core,Southern Bronx,Female,"35,000− 49,999",Hispanic,NO car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
19,Middle Queens,Middle Queens,Male,"200,000 and above",White,own car,Shopping,Weekend,within,high income,Social,Yes
20,Inner Brooklyn,Inner Brooklyn,Female,"100,000− 149,999",White,own car,Social/recreation,Weekday,within,middle income,Social,Yes
21,Southern Bronx,Southern Bronx,Male,"15,000− 24,999",Hispanic,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
22,Outer Queens,Outer Queens,Male,"Less than 14,999",White,NO car,School,Weekday,within,low income,Work/School,Yes
23,Northern Manhattan,Northern Manhattan,Male,"100,000− 149,999",Black,NO car,Commute to/from work,Weekday,within,middle income,Work/School,Yes
24,Inner Brooklyn,Inner Brooklyn,Male,"50,000 -  74,999",Other,NO car,Social/recreation,Weekend,within,low income,Social,Yes
25,Manhattan Core,Manhattan Core,Male,"200,000 and above",White,own car,Social/recreation,Weekday,within,high income,Social,Yes
26,Inner Brooklyn,Inner Brooklyn,Male," 75,000 -  99,999",White,NO car,Commute to/from work,Weekday,within,middle income,Work/School,Yes
27,Manhattan Core,Manhattan Core,Female,"150,000− 199,999",White,NO car,Commute to/from work,Weekday,within,high income,Work/School,Yes
28,Inner Brooklyn,Inner Brooklyn,Female,"Less than 14,999",Hispanic,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
29,Middle Queens,Manhattan Core,Female,"Less than 14,999",Asian,NO car,Shopping,Weekend,outside,low income,Social,Yes
30,Inner Brooklyn,Inner Brooklyn,Male,"35,000− 49,999",Hispanic,NO car,Dining,Weekday,within,low income,Social,Yes
31,Inner Brooklyn,Inner Brooklyn,Female,"Less than 14,999",Hispanic,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
32,Middle Queens,Inner Brooklyn,Male,"25,000− 34,999",White,NO car,Personal errands,Weekday,outside,low income,Others,Yes
33,Northern Manhattan,Manhattan Core,Male,"150,000− 199,999",Hispanic,own car,Personal errands,Weekday,outside,high income,Others,Yes
34,Outer Brooklyn,Inner Brooklyn,Female,"50,000 -  74,999",White,NO car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
35,Outer Brooklyn,Outer Brooklyn,Male," 75,000 -  99,999",White,NO car,Medical visit (doctor's office),Weekday,within,middle income,Others,Yes
36,Middle Queens,Inner Brooklyn,Female,"35,000− 49,999",Hispanic,own car,Other,Weekend,outside,low income,Others,No
37,Inner Brooklyn,Inner Brooklyn,Female,"50,000 -  74,999",White,NO car,Dining,Weekday,within,low income,Social,Yes
38,Southern Bronx,Southern Bronx,Male,"50,000 -  74,999",Hispanic,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
39,Inner Queens,Manhattan Core,Female,"50,000 -  74,999",White,NO car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
40,Inner Brooklyn,Inner Brooklyn,Male,"200,000 and above",White,NO car,Accompanying other traveler,Weekday,within,high income,Others,Yes
41,Staten Island,Staten Island,Female,"35,000− 49,999",Hispanic,NO car,Social/recreation,Weekday,within,low income,Social,Yes
42,Manhattan Core,Manhattan Core,Male,"35,000− 49,999",White,NO car,Shopping,Weekday,within,low income,Social,Yes
43,Inner Queens,Inner Queens,Female," 75,000 -  99,999",White,own car,Social/recreation,Weekday,within,middle income,Social,Yes
44,Southern Bronx,Southern Bronx,Female,"Less than 14,999",Hispanic,NO car,Medical visit (doctor's office),Weekday,within,low income,Others,Yes
45,Outer Queens,Manhattan Core,Male,"100,000− 149,999",White,own car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
46,Outer Brooklyn,Outer Brooklyn,Male," 75,000 -  99,999",White,NO car,Shopping,Weekday,within,middle income,Social,Yes
47,Inner Brooklyn,Inner Brooklyn,Female,"100,000− 149,999",White,own car,Dining,Weekday,within,middle income,Social,Yes
48,Manhattan Core,Inner Queens,Male," 75,000 -  99,999",Asian,NO car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
49,Inner Queens,Inner Queens,Male,"150,000− 199,999",Hispanic,NO car,Shopping,Weekday,within,high income,Social,Yes
50,Outer Queens,Outer Queens,Male,"35,000− 49,999",Hispanic,own car,Commute to/from work,Weekday,within,low income,Work/School,No
51,Outer Brooklyn,Outer Brooklyn,Male," 75,000 -  99,999",White,NO car,Personal errands,Weekday,within,middle income,Others,Yes
